name,size,unique_x,unique_t,negation_closed,mu6_closed,m,coverage,probability,sample_hits
quotient_reps_832,832,832,832,False,False,1,832,0.16663328660124174,337
quotient_reps_832,832,832,832,False,False,2,4992,0.9997997196074504,2000
quotient_reps_832,832,832,832,False,False,3,4993,1.0,2000
lattes_full_nonzero,4992,2496,832,True,True,,,,
suborbit13_reps,13,13,13,False,False,1,13,0.0026036451031444022,5
suborbit13_reps,13,13,13,False,False,2,88,0.017624674544362107,42
suborbit13_reps,13,13,13,False,False,3,407,0.08151411976767474,182
suborbit13_reps,13,13,13,False,False,4,1376,0.2755858201482075,539
suborbit64_reps,64,64,64,False,False,1,64,0.012817945123172442,35
suborbit64_reps,64,64,64,False,False,2,1728,0.3460845183256559,689
suborbit64_reps,64,64,64,False,False,3,4993,1.0,2000
suborbit13_mu6_saturated,78,39,13,True,True,1,78,0.015621870618866412,25
suborbit13_mu6_saturated,78,39,13,True,True,2,2419,0.48447826957740836,1003
suborbit13_mu6_saturated,78,39,13,True,True,3,4993,1.0,2000
suborbit64_mu6_saturated,384,192,64,True,True,1,384,0.07690767073903465,183
suborbit64_mu6_saturated,384,192,64,True,True,2,4993,1.0,2000
quotient_prefix_4,4,4,4,False,False,1,4,0.0008011215701982776,0
quotient_prefix_4,4,4,4,False,False,2,10,0.002002803925495694,3
quotient_prefix_4,4,4,4,False,False,3,20,0.004005607850991388,5
quotient_prefix_4,4,4,4,False,False,4,35,0.007009813739234929,18
quotient_prefix_8,8,8,8,False,False,1,8,0.0016022431403965552,1
quotient_prefix_8,8,8,8,False,False,2,36,0.0072100941317844985,19
quotient_prefix_8,8,8,8,False,False,3,119,0.02383336671339876,61
quotient_prefix_8,8,8,8,False,False,4,320,0.06408972561586221,118
quotient_prefix_13,13,13,13,False,False,1,13,0.0026036451031444022,2
quotient_prefix_13,13,13,13,False,False,2,91,0.018225515722010813,34
quotient_prefix_13,13,13,13,False,False,3,443,0.08872421389945924,188
quotient_prefix_13,13,13,13,False,False,4,1583,0.31704386140596835,632
quotient_prefix_16,16,16,16,False,False,1,16,0.0032044862807931104,4
quotient_prefix_16,16,16,16,False,False,2,136,0.02723813338674144,45
quotient_prefix_16,16,16,16,False,False,3,782,0.15661926697376327,343
quotient_prefix_16,16,16,16,False,False,4,2873,0.5754055677949129,1138
quotient_prefix_32,32,32,32,False,False,1,32,0.006408972561586221,11
